level,error_category,events_count,users_count
новичок,Выполнение логического оператора If действия id: <id> группы действий id: <id> Результат: false,56,1
новичок,运行HTMLElement 动作id<id> 动作组id<id> 根据搜索条件未找到HTML元素,38,1
новичок,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска",32,13
новичок,Null reference,12,4
новичок,"Searching text on a page action id: <id>of action group id: <id> 未发现, Url: https://tsugaike.nippon-ski.com/ja/checkout/cart/, Regex: 名義人\s+",11,1
новичок,Server 500,7,1
новичок,Выполнение действия Emulation id: <id> группы действий id: <id> Выполнение прервано | System.Exception: Выполнение прервано,7,1
новичок,"Running the WebBrowserSettings action id: <id> action group id: <id> Error reading the file, it probably has wrong format or corrupted",6,1
новичок,"Searching text on a page action id: <id>of action group id: <id> 未发现, Url: https://tsugaike.nippon-ski.com/ja/checkout/, Regex: 名義人\s+",5,1
новичок,Executing action ImageProcessing id: <id> Action Group id: <id> Error loading image,4,1
новичок,Выполнение действия ImageProcessing id: <id> группы действий id: <id> Ошибка при получении изображения,4,1
новичок,Выполнение действия LaunchProgram id: <id> группы действий id: <id> Указанный исполняемый файл не является действительным приложением для эт,4,1
новичок,Timeout,3,3
новичок,Выполнение действия List id: <id> группы действий id: <id> Список пуст | System.Exception: Список пуст,3,2
новичок,Выполнение действия Emulation id: <id> группы действий id: <id> Входная строка имела неверный формат. | System.FormatException: Входная стро,3,2
новичок,Argument error,3,1
новичок,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> [Строка: 22; Cтолбец: 0] <n>.. Нет xpath элемента: //h1[contains(@clas,3,1
новичок,Rate limit,3,1
новичок,Выполнение действия LaunchProgram id: <id> группы действий id: <id> Переполнение TimeSpan из-за превышения длительности. | System.OverflowEx,3,1
новичок,"Выполнение действия CSharp OwnCode: Парсим мемы, постим на сервак. id: <id> группы действий id: <id> [Строка: <n>; Cтолбец: 1] Индекс находи",3,1
новичок,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Threading.ThreadAbortE,2,2
новичок,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> Недостаточно памяти. | System.OutOfMemoryException: Недостаточно памят,2,1
новичок,Выполнение программы C:\mobirise-automation\mobirise.bat действия id: <id> группы действий id: <id> Результат: <n>,2,1
новичок,Выполнение действия WebBrowserTabManagement id: <id> группы действий id: <id> Не нашли вкладку popup-1 в инстансе. Инстанс <n>:<n>.0.0.1 | S,2,1
новичок,Running HtmlElement action id: <id> action group id: <id> An HTML element matching the search criteria hasn't been found,2,1
новичок,Выполнение программы C:\Program Files (x86)\ePochta\ePochta Mailer\ePochtaMailer.exe действия id: <id> группы действий id: <id> Результат: -,2,1
новичок,"Searching text on a page action id: <id>of action group id: <id> 未发现, Url: https://tsugaike.nippon-ski.com/ja/checkout/#payment, Regex: 名義人\",2,1
новичок,Выполнение действия Table id: <id> группы действий id: <id> Ошибка при обработке таблицы,2,1
новичок,File not found,1,1
новичок,"Выполнение действия Touch HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент либо вкладка, по условиям поиска",1,1
новичок,Выполнение действия HtmlElement id: <id> группы действий id: <id> Ошибка обращения к Instance.GetTabByAddress | System.Exception: Ошибка обр,1,1
новичок,Взятие строки из таблицы действия id: <id> группы действий id: <id> Строки с номером не существует в таблице,1,1
новичок,"Выполнение действия Создать профили ZennoBrowser id: <id> группы действий id: <id> {""ExceptionJson"":[""{\u0022$type\u0022:\u0022ZennoLab.Plat",1,1
новичок,Выполнение действия WebBrowserExtensions id: <id> группы действий id: <id> Can't uninstall extension pabjfbciaedomjjfelfafejkppknjleh | Syst,1,1
новичок,Выполнение действия FTPDirectory id: <id> группы действий id: <id> Ошибка при работе с FTP,1,1
новичок,"Выполнение действия FTPDirectory id: <id> группы действий id: <id> Прокси имеет неверный формат: ""94.<n>.<n>.60"" | System.Exception: Прокси ",1,1
новичок,"Выполнение действия Получить список профилей ZennoBrowser id: <id> группы действий id: <id> Status(StatusCode=""Unauthenticated"", Detail=""Bad",1,1
новичок,Выполнение действия FTPFile id: <id> группы действий id: <id> Ошибка при работе с FTP,1,1
новичок,Выполнение действия LaunchProgram id: <id> группы действий id: <id> Не удается найти указанный файл | System.ComponentModel.Win32Exception (,1,1
новичок,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> [Строка: <n>; Cтолбец: 1] Не удалось собрать Cookie header для xe.com ,1,1
новичок,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> No such variable: xe_rates_usd | ZennoLab.TemplateManipulator.V4.Helpe,1,1
новичок,Выполнение действия Emulation id: <id> группы действий id: <id> Ошибка при обработке,1,1
новичок,Выполнение действия WebBrowserTabManagement id: <id> группы действий id: <id> Не нашли вкладку popup в инстансе. Инстанс <n>:<n>.0.0.1 | Sys,1,1
новичок,Выполнение действия HtmlElement id: <id> группы действий id: <id> Индекс находился вне границ массива. | System.IndexOutOfRangeException: Ин,1,1
новичок,"Поиск текста на странице действия id: <id> группы действий id: <id> Не найден, Url: http://wlb-promo.local/5x-product-check, Regex: Все\s+то",1,1
новичок,Выполнение действия CSharp OwnCode: Workbench. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Threading.T,1,1
новичок,Выполнение действия Http id: <id> группы действий id: <id> Ошибка запроса,1,1
новичок,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> [Строка: 25; Cтолбец: 0] Exit by red branch: table 'parse_promo' not f,1,1
