lite_or_pro,error_category,events_count,users_count
lite,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска",43,25
lite,Running HtmlElement action id: <id> action group id: <id> An HTML element matching the search criteria hasn't been found,25,10
lite,Null reference,24,7
lite,Выполнение действия Emulation id: <id> группы действий id: <id> Входная строка имела неверный формат. | System.FormatException: Входная стро,15,2
lite,Server 500,11,3
lite,Proxy issue,10,5
lite,Taking line from the table action id: <id> action group id: <id> Line No. does not exist in the table,10,3
lite,Выполнение действия Http id: <id> группы действий id: <id> Ошибка запроса,10,3
lite,Выполнение действия Profile id: <id> группы действий id: <id> Не удалось найти подходящий профиль. | System.Data.ObjectNotFoundException: Не,7,2
lite,Выполнение логического оператора If действия id: <id> группы действий id: <id> Результат: false,7,2
lite,Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Ошибка запуска профиля ZennoBrowser (<id>): Status(Stat,7,2
lite,Выполнение действия Directory id: <id> группы действий id: <id> Ошибка при работе с директорией,7,2
lite,Running the WebBrowserSettings action id: <id> action group id: <id> Cookies for loading not found. | System.Exception: Cookies for loading ,6,1
lite,运行HTMLElement 动作id<id> 动作组id<id> 根据搜索条件未找到HTML元素,5,3
lite,Argument error,5,2
lite,Выполнение действия Создать профили ZennoBrowser id: <id> группы действий id: <id> Списка с указанным именем не существует,5,2
lite,Run List action id: <id> action group id: <id> List is empty | System.Exception: List is empty,5,2
lite,Rate limit,4,2
lite,Выполнение действия List id: <id> группы действий id: <id> Список пуст | System.Exception: Список пуст,3,3
lite,Not found,3,1
lite,Выполнение действия ProjectInProject id: <id> группы действий id: <id> Ошибка при обработке,3,1
lite,File not found,3,1
lite,Выполнение действия WebBrowserTab id: <id> группы действий id: <id> Не нашли активную вкладку в инстансе. Инстанс 0: | System.Exception: Не ,3,1
lite,Выполнение действия WebBrowserSettings id: <id> группы действий id: <id> Ошибка обращения к Instance.ClearCookie | System.Exception: Ошибка ,2,2
lite,Парсинг страницы действия id: <id> группы действий id: <id> Не найдены элементы по заданным параметрам,2,2
lite,Выполнение действия List id: <id> группы действий id: <id> Ошибка при обработке списка,2,1
lite,Executing action ImageProcessing id: <id> Action Group id: <id> Error loading image,2,1
lite,Выполнение действия LaunchProgram id: <id> группы действий id: <id> Переполнение TimeSpan из-за превышения длительности. | System.OverflowEx,2,1
lite,Выполнение действия Emulation id: <id> группы действий id: <id> Ошибка обращения к Instance.SendText | System.Exception: Ошибка обращения к ,2,1
lite,Running the WebBrowserSettings action id: <id> action group id: <id> Error accessing Instance.ClearCookie | System.Exception: Error accessin,2,1
lite,"Поиск текста на странице действия id: <id> группы действий id: <id> Не найден, Url: https://2ip.ru/, Regex: Вая\s+IP",2,1
lite,Выполнение действия WebBrowserTab id: <id> группы действий id: <id> Ошибка обращения к Instance.ActiveTab | System.Exception: Ошибка обращен,2,1
lite,Выполнение действия Directory id: <id> группы действий id: <id> No such variable: file_name | ZennoLab.TemplateManipulator.V4.Helpers.Invali,2,1
lite,Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Отказано в доступе | System.ComponentModel.Win32Excepti,2,1
lite,Выполнение действия WebBrowserData id: <id> группы действий id: <id> No such list: | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariable,2,1
lite,Выполнение действия Emulation id: <id> группы действий id: <id> Выполнение прервано | System.Exception: Выполнение прервано,2,1
lite,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> [Строка: <n>; Cтолбец: 8] ❌ Нет доступных аккаунтов в файле accounts.t,2,1
lite,Выполнение действия List id: <id> группы действий id: <id> Искомый элемент отсутствует в списке | System.Exception: Искомый элемент отсутств,2,1
lite,Running the VariableOperations action id: <id> action group id: <id> Variable is not a number | System.FormatException: Input string was not,1,1
lite,Executing action Swipe HtmlElement id: <id> of action group id: <id> HTML element or tab was not found using search settings,1,1
lite,Running the WebBrowserSettings action id: <id> action group id: <id> Invalid format. | System.Exception: Invalid format,1,1
lite,Running the Profile action id: <id> action group id: <id> Could not find matching profile. | System.Data.ObjectNotFoundException: Could not ,1,1
lite,Выполнение действия FTPDirectory id: <id> группы действий id: <id> Ошибка при работе с FTP,1,1
lite,Выполнение действия WebBrowserSettings id: <id> группы действий id: <id> Ошибка обращения к Instance.ClearCache | System.Exception: Ошибка о,1,1
lite,Timeout,1,1
lite,Выполнение действия Создать профили ZennoBrowser id: <id> группы действий id: <id> Входная строка имела неверный формат. | System.FormatExce,1,1
lite,Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Ошибка запуска профиля ZennoBrowser (<id>): Can't conne,1,1
lite,Выполнение действия ImageProcessing id: <id> группы действий id: <id> Ошибка при получении изображения,1,1
lite,Выполнение действия Table id: <id> группы действий id: <id> Индекс находился вне границ массива. | System.IndexOutOfRangeException: Индекс н,1,1
lite,运行WebBrowserSettings 动作id<id> 动作组id<id> 访问实例错误.ClearCookie | System.Exception: 访问实例错误.ClearCookie,1,1
lite,Выполнение действия TextProcessing id: <id> группы действий id: <id> Ошибка при обработке текста,1,1
lite,Выполнение действия WebBrowserTab id: <id> группы действий id: <id> Ошибка обращения к Instance.MainTab | System.Exception: Ошибка обращения,1,1
lite,Running the logical IF-statement action id: <id> action group id: <id> Result,1,1
lite,Running the Table action id: <id> action group id: <id> Failed to process the table,1,1
lite,Выполнение действия File id: <id> группы действий id: <id> Ошибка при работе с файлом,1,1
lite,Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Все профили указанной папки заняты | ZennoLab.ZennoPost,1,1
lite,Выполнение действия CSharp OwnCode: НЕ можем нажать отправить. id: <id> группы действий id: <id> [Строка: 3; Cтолбец: 0] ERROR - НЕ можем на,1,1
lite,Выполнение действия WebBrowserExtensions id: <id> группы действий id: <id> Incorrect extension parsing type! | System.InvalidOperationExcept,1,1
lite,Execution of analysis of content action id: <id> action group id: <id> Input string was not in a correct format. | System.FormatException: I,1,1
lite,"Выполнение действия Touch HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент либо вкладка, по условиям поиска",1,1
lite,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Threading.ThreadAbortE,1,1
lite,运行WebBrowserTab 动作id<id> 动作组id<id> 激活标签的实例没有找到.实例0: | System.Exception: 激活标签的实例没有找到.实例0,1,1
lite,Выполнение действия WebBrowserTab id: <id> группы действий id: <id> Не нашли вкладку в инстансе. Инстанс <n>:<n>.0.0.1 | System.Exception: Н,1,1
lite,Выполнение действия CSharp OwnCode: выбор random видео. id: <id> группы действий id: <id> [Строка: 12; Cтолбец: 0] Индекс находился вне гран,1,1
lite,"Выполнение действия Получить список профилей ZennoBrowser id: <id> группы действий id: <id> Status(StatusCode=""Unauthenticated"", Detail=""Bad",1,1
lite,Running the WebBrowserTabManagment action id: <id> action group id: <id> Tab popup is not found in instance. Instance <n>:<n>.0.0.1 | System,1,1
pro,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска",84,47
pro,运行HTMLElement 动作id<id> 动作组id<id> 根据搜索条件未找到HTML元素,21,10
pro,Perform the JavaScript OwnCode action id: <id> action group id: <id> Error accessing Document.EvaluateScript | System.Exception: Error acces,19,1
pro,Выполнение действия List id: <id> группы действий id: <id> Список пуст | System.Exception: Список пуст,17,15
pro,Captcha/anti-bot,17,12
pro,Null reference,17,11
pro,Выполнение логического оператора If действия id: <id> группы действий id: <id> Результат: false,16,7
pro,Proxy issue,14,12
pro,Парсинг страницы действия id: <id> группы действий id: <id> Не найдены элементы по заданным параметрам,13,7
pro,Взятие строки из таблицы действия id: <id> группы действий id: <id> Строки с номером не существует в таблице,8,8
pro,Running HtmlElement action id: <id> action group id: <id> An HTML element matching the search criteria hasn't been found,7,5
pro,Подпроект readability. Выполнение действия CSharp OwnCode: check required vars. id: <id> группы действий id: <id> подпроект path: C:\Users\А,7,1
pro,Выполнение действия ProjectInProject id: <id> группы действий id: <id> Ошибка при обработке,6,5
pro,Timeout,5,5
pro,Rate limit,5,5
pro,Run List action id: <id> action group id: <id> List is empty | System.Exception: List is empty,5,4
pro,Выполнение действия Http id: <id> группы действий id: <id> Превышен таймаут ResourceDownloader.GetResult. | System.Exception: Превышен тайма,5,3
pro,Argument error,5,3
pro,Executing action CSharp OwnCode.id: <id> action group id: <id> The device is not ready. | System.IO.IOException: The device is not ready,5,1
pro,Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Ошибка запуска профиля ZennoBrowser (<id>): Status(Stat,4,3
pro,Выполнение действия Db id: <id> группы действий id: <id> You have an error in your SQL syntax; check the manual that corresponds to your MyS,4,2
pro,Running the logical IF-statement action id: <id> action group id: <id> Result: false,4,2
pro,Подпроект readability_example. Выполнение действия CSharp OwnCode: Exc. id: <id> группы действий id: <id> подпроект path: C:\Users\Администр,4,1
pro,"Выполнение действия Touch HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент либо вкладка, по условиям поиска",3,3
pro,Server unavailable,3,3
pro,Выполнение действия Создать профили ZennoBrowser id: <id> группы действий id: <id> ZennoBrowser не установлен | System.Exception: ZennoBrows,3,2
pro,Выполнение действия Получить список профилей ZennoBrowser id: <id> группы действий id: <id> Can't connect to ZennoBrowser | System.Exception,3,2
