level,last_error_category,users_count
новичок,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска",6
новичок,Выполнение действия List id: <id> группы действий id: <id> Список пуст | System.Exception: Список пуст,3
новичок,Timeout,2
новичок,Argument error,1
новичок,File not found,1
новичок,Null reference,1
новичок,"Выполнение действия Получить список профилей ZennoBrowser id: <id> группы действий id: <id> Status(StatusCode=""Unauthenticated"", Detail=""Bad",1
новичок,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> Недостаточно памяти. | System.OutOfMemoryException: Недостаточно памят,1
новичок,Выполнение программы C:\mobirise-automation\mobirise.bat действия id: <id> группы действий id: <id> Результат: <n>,1
новичок,Executing action ImageProcessing id: <id> Action Group id: <id> Error loading image,1
новичок,"Поиск текста на странице действия id: <id> группы действий id: <id> Не найден, Url: http://wlb-promo.local/5x-product-check, Regex: Все\s+то",1
новичок,Выполнение действия Emulation id: <id> группы действий id: <id> Входная строка имела неверный формат. | System.FormatException: Входная стро,1
новичок,Выполнение логического оператора If действия id: <id> группы действий id: <id> Результат: false,1
новичок,Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Ошибка запуска профиля ZennoBrowser (<id>): Can't conne,1
новичок,Выполнение действия CSharp OwnCode: Parser-get. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Threading.,1
новичок,Server unavailable,1
новичок,Выполнение действия Table id: <id> группы действий id: <id> Ошибка при обработке таблицы,1
новичок,执行动作C#自定义代码.id: <id> 动作组 id: <id> Thread was being aborted. | System.Threading.ThreadAbortException: Thread was being aborted,1
новичок,Executing action CSharp OwnCode.id: <id> action group id: <id> Thread was being aborted. | System.Threading.ThreadAbortException: Thread was,1
новичок,Run List action id: <id> action group id: <id> List is empty | System.Exception: List is empty,1
новичок,Running HtmlElement action id: <id> action group id: <id> An HTML element matching the search criteria hasn't been found,1
новичок,Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Ошибка запуска профиля ZennoBrowser (<id>): Status(Stat,1
новичок,Running the WebBrowserSettings action id: <id> action group id: <id> Error accessing Instance.ClearCookie | System.Exception: Error accessin,1
новичок,"Searching text on a page action id: <id> of action group id: <id> Not found, Url: https://www.iplocation.net/, Regex: JustOctane",1
новичок,Парсинг страницы действия id: <id> группы действий id: <id> Не найдены элементы по заданным параметрам,1
