lite_or_pro,last_error_category,users_count
lite,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска",15
lite,Null reference,6
lite,Argument error,4
lite,Proxy issue,3
lite,Running HtmlElement action id: <id> action group id: <id> An HTML element matching the search criteria hasn't been found,3
lite,Server 500,2
lite,Парсинг страницы действия id: <id> группы действий id: <id> Не найдены элементы по заданным параметрам,2
lite,Выполнение логического оператора If действия id: <id> группы действий id: <id> Результат: false,2
lite,Timeout,2
lite,Выполнение действия VariableOperations id: <id> группы действий id: <id> Переменная не число | System.FormatException: Входная строка имела ,2
lite,Rate limit,2
lite,Executing action CSharp OwnCode.id: <id> action group id: <id> No such table: Table1 | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariab,1
lite,Running the Profile action id: <id> action group id: <id> Could not find matching profile. | System.Data.ObjectNotFoundException: Could not ,1
lite,Run List action id: <id> action group id: <id> List is empty | System.Exception: List is empty,1
lite,"Выполнение действия FTPDirectory id: <id> группы действий id: <id> Прокси имеет неверный формат: ""94.<n>.<n>.60"" | System.Exception: Прокси ",1
lite,Выполнение действия List id: <id> группы действий id: <id> Ошибка при обработке списка,1
lite,Extension installer not found,1
lite,Выполнение действия CSharp OwnCode: Get Messagge. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Threadin,1
lite,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> No such variable: xe_rates_usd | ZennoLab.TemplateManipulator.V4.Helpe,1
lite,Parsing the page action id: <id> action group id: <id> No elements matching the specified parameters,1
lite,Выполнение действия List id: <id> группы действий id: <id> Список пуст | System.Exception: Список пуст,1
lite,Executing action ImageProcessing id: <id> Action Group id: <id> Error loading image,1
lite,"Running the WebBrowserSettings action id: <id> action group id: <id> Error reading the file, it probably has wrong format or corrupted",1
lite,Выполнение действия WebBrowserSettings id: <id> группы действий id: <id> Ошибка обращения к Instance.ClearCache | System.Exception: Ошибка о,1
lite,"Выполнение действия Table id: <id> группы действий id: <id> Column name must be one-, two- or three-letter name from A to XFD",1
lite,Выполнение действия WebBrowserSettings id: <id> группы действий id: <id> Ошибка проверки совместимости профиль-папки: Профиль-папка несовмес,1
lite,Выполнение действия Emulation id: <id> группы действий id: <id> Ошибка обращения к Instance.SendText | System.Exception: Ошибка обращения к ,1
lite,Not found,1
lite,Выполнение действия Emulation id: <id> группы действий id: <id> Входная строка имела неверный формат. | System.FormatException: Входная стро,1
lite,Выполнение действия ParsePage id: <id> группы действий id: <id> Ошибка получения данных из html документа | System.Exception: Ошибка получен,1
lite,Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Ошибка запуска профиля ZennoBrowser (<id>): Can't conne,1
lite,Выполнение действия ImageProcessing id: <id> группы действий id: <id> Ошибка при получении изображения,1
lite,Выполнение действия Создать профили ZennoBrowser id: <id> группы действий id: <id> Списка с указанным именем не существует,1
lite,Выполнение действия WebBrowserTabManagement id: <id> группы действий id: <id> Не нашли вкладку TW в инстансе. Инстанс <n>:<n>.0.0.1 | System,1
lite,Выполнение действия Остановить инстанс id: <id> группы действий id: <id> Ошибка обращения к Instance.PrepareInstance | System.Exception: Оши,1
pro,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска",39
pro,Выполнение действия List id: <id> группы действий id: <id> Список пуст | System.Exception: Список пуст,11
pro,Выполнение логического оператора If действия id: <id> группы действий id: <id> Результат: false,6
pro,运行HTMLElement 动作id<id> 动作组id<id> 根据搜索条件未找到HTML元素,6
pro,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Threading.ThreadAbortE,5
pro,Proxy issue,4
pro,Взятие строки из таблицы действия id: <id> группы действий id: <id> Строки с номером не существует в таблице,4
pro,Captcha/anti-bot,4
pro,Null reference,4
pro,Argument error,3
pro,Server unavailable,3
pro,Running HtmlElement action id: <id> action group id: <id> An HTML element matching the search criteria hasn't been found,3
pro,Taking line from the table action id: <id> action group id: <id> Line No. does not exist in the table,2
pro,Выполнение логического оператора If действия id: <id> группы действий id: <id> Результат,2
pro,Парсинг страницы действия id: <id> группы действий id: <id> Не найдены элементы по заданным параметрам,2
pro,Timeout,2
pro,Running the WebBrowserSettings action id: <id> action group id: <id> Object reference not set to an instance of an object,2
pro,Выполнение действия Http id: <id> группы действий id: <id> Превышен таймаут ResourceDownloader.GetResult. | System.Exception: Превышен тайма,2
pro,运行IF-statmen逻辑 动作id<id> 动作组id<id> 结果：false,2
pro,Выполнение действия JavaScript OwnCode id: <id> группы действий id: <id> CdpDocument.EvaluateScript failed | System.Exception: CdpDocument.E,2
pro,Выполнение действия List id: <id> группы действий id: <id> Искомый элемент отсутствует в списке | System.Exception: Искомый элемент отсутств,2
pro,Run List action id: <id> action group id: <id> List is empty | System.Exception: List is empty,2
pro,Выполнение действия File id: <id> группы действий id: <id> Ошибка при работе с файлом,2
pro,Выполнение действия Emulation id: <id> группы действий id: <id> Выполнение прервано | System.Exception: Выполнение прервано,2
pro,Выполнение действия Table id: <id> группы действий id: <id> Ошибка при обработке таблицы,2
pro,Executing the Get ZennoBrowser profiles action id: <id> action group id: <id> ZennoBrowser not installed | System.Exception: ZennoBrowser no,1
pro,"Выполнение действия CSharp OwnCode: Anymessage get. id: <id> группы действий id: <id> [Строка: 25; Cтолбец: 4] Ошибка API: {""status"":""error""",1
pro,Testing file C:\Users\tuhe\Dropbox\trustluna\ai pobieranie\outchat\7 existence action id: <id> action group id: <id> Result: file doesn't ex,1
pro,Выполнение логического оператора Switch действия id: <id> группы действий id: <id> Результат: Нет подходящего значения,1
pro,File not found,1
pro,Выполнение действия CSharp OwnCode: считаю разницу в рублях. id: <id> группы действий id: <id> Входная строка имела неверный формат. | Syste,1
pro,Executing action WebBrowserExtensions id: <id> of action group id: <id> Error accessing Instance.InstallCrxExtension | System.Exception: Err,1
pro,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> [Строка: 22; Cтолбец: 0] <n>.. Нет xpath элемента: //h1[contains(@clas,1
pro,Подпроект Сериалы - создание заданий на анимирование. Выполнение действия List id: <id> группы действий id: <id> подпроект path: C:\OpenClou,1
pro,运行列表 动作id<id> 动作组id<id> 列表为空 | System.Exception: 列表为空,1
pro,Выполнение действия ImageProcessing id: <id> группы действий id: <id> Ошибка при получении изображения,1
pro,Подпроект drom_parse_osn_file. Выполнение действия File id: <id> группы действий id: <id> подпроект path: C:\Users\ceo\Documents\drom_parse_,1
pro,Rate limit,1
pro,"Выполнение действия Db id: <id> группы действий id: <id> ERROR [<n>] ОШИБКА: новая строка в отношении ""cell_coverages"" нарушает ограничение-",1
pro,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> [Строка: 8; Cтолбец: 0] Ответ сервера не содержит HTTP/1.1 <n> OK | Sy,1
pro,Выполнение действия WebBrowserExtensions id: <id> группы действий id: <id> Can't uninstall extension pabjfbciaedomjjfelfafejkppknjleh | Syst,1
pro,Выполнение действия CSharp OwnCode: FARM. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Threading.Thread,1
pro,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> Поток находился в процессе прерывания,1
pro,"Выполнение действия Parse Json/Xml id: <id> группы действий id: <id> Error reading JToken from JsonReader. Path '', line 0, position 0. | Sy",1
pro,Выполнение действия CSharp OwnCode: ок. id: <id> группы действий id: <id> [Строка: 32; Cтолбец: 0] Кнопка OK не появилась за 3 секунды | Sys,1
pro,Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Идентификатор профиля ZennoBrowser пустой | ZennoLab.Ze,1
pro,Выполнение программы C:\Zenno\OpenAi-TTS\ffmpeg.exe действия id: <id> группы действий id: <id> Результат: -<n>,1
pro,"Выполнение действия Profile id: <id> группы действий id: <id> Файла не существует по пути ""C:\Users\Administrator\Desktop\зенка Парсер\1""",1
pro,"Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> [Строка: 23; Cтолбец: 0] Не удалось загрузить файл или сборку ""Renci.S",1
pro,"Выполнение действия Получить список профилей ZennoBrowser id: <id> группы действий id: <id> Status(StatusCode=""Unauthenticated"", Detail=""Bad",1
pro,执行动作C#自定义代码: FilterState2.id: <id> 动作组 id: <id> [行: 6; 列: 0] invalid state | System.Exception: invalid state,1
pro,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> Недостаточно памяти. | System.OutOfMemoryException: Недостаточно памят,1
