domain,users_count,projects_count,what_users_do,top_themes
telegram.org,55,700,"Логика/ретраи, Формы/клики/DOM, Навигация по сайтам","Соцсети, Лидогенерация/арбитраж"
google.com,51,702,"Логика/ретраи, Формы/клики/DOM, Навигация по сайтам","Регистрация/аккаунты, Соцсети"
yandex.ru,42,437,"Формы/клики/DOM, Навигация по сайтам, Логика/ретраи","Регистрация/аккаунты, Лидогенерация/арбитраж"
docs.google.com,32,408,"Формы/клики/DOM, Логика/ретраи, Навигация по сайтам","Лидогенерация/арбитраж, Google Sheets/отчетность"
facebook.com,20,320,"Навигация по сайтам, Прокси/профили/эмуляция, Логика/ретраи","Соцсети, Лидогенерация/арбитраж"
youtube.com,20,196,"Навигация по сайтам, Логика/ретраи, Формы/клики/DOM","Соцсети, Лидогенерация/арбитраж"
api.ipify.org,16,147,"Логика/ретраи, HTTP/API запросы, Парсинг/валидация","Регистрация/аккаунты, Соцсети"
2fa.fb.tools,12,245,"Навигация по сайтам, Логика/ретраи, Прокси/профили/эмуляция","Регистрация/аккаунты, Лидогенерация/арбитраж"
ip-api.com,12,220,"Парсинг/валидация, Логика/ретраи, Навигация по сайтам","Регистрация/аккаунты, Соцсети"
2ip.ru,12,44,"Навигация по сайтам, Прокси/профили/эмуляция, Формы/клики/DOM","Регистрация/аккаунты, Соцсети"
instagram.com,11,268,"Логика/ретраи, Навигация по сайтам, Формы/клики/DOM","Соцсети, Лидогенерация/арбитраж"
x.com,11,154,"Логика/ретраи, Прокси/профили/эмуляция, Навигация по сайтам","Соцсети, Лидогенерация/арбитраж"
check.zennolab.com,11,114,"Логика/ретраи, Навигация по сайтам, Прокси/профили/эмуляция","Лидогенерация/арбитраж, Регистрация/аккаунты"
ipinfo.io,10,161,"Логика/ретраи, Навигация по сайтам, Прокси/профили/эмуляция","Лидогенерация/арбитраж, Регистрация/аккаунты"
lessons.zennolab.com,10,46,"Навигация по сайтам, Формы/клики/DOM, Прокси/профили/эмуляция","Регистрация/аккаунты, Соцсети"
api.anymessage.shop,9,223,"Логика/ретраи, Прокси/профили/эмуляция, Навигация по сайтам","Регистрация/аккаунты, Лидогенерация/арбитраж"
chatgpt.com,9,209,"Формы/клики/DOM, Навигация по сайтам, Логика/ретраи","Регистрация/аккаунты, Google Sheets/отчетность"
zennoclub.com,8,231,"Формы/клики/DOM, Логика/ретраи, Навигация по сайтам","Соцсети, Регистрация/аккаунты"
api.sypexgeo.net,8,231,"Формы/клики/DOM, Логика/ретраи, Навигация по сайтам","Соцсети, Регистрация/аккаунты"
api.openai.com,8,142,"HTTP/API запросы, Логика/ретраи, Прокси/профили/эмуляция","Регистрация/аккаунты, Лидогенерация/арбитраж"
accounts.google.com,8,111,"Формы/клики/DOM, Навигация по сайтам, Прокси/профили/эмуляция","Лидогенерация/арбитраж, Соцсети"
whoer.net,8,72,"Навигация по сайтам, Логика/ретраи, Формы/клики/DOM","Регистрация/аккаунты, Лидогенерация/арбитраж"
cap.guru,8,44,"Формы/клики/DOM, Прокси/профили/эмуляция, Логика/ретраи","Соцсети, Регистрация/аккаунты"
