guid,user_dirs,lite_or_pro,projects_count,sessions_count,active_days,first_activity,last_activity,inactive_hours_till_2026_02_24_end,left_more_than_1_day,top_sites,top_themes,main_operations,edit_versions_avg,unique_action_pairs,top_error_category,top_error_count,last_error_category,last_error_time,stop_points,level,confidence_pct,score,occupation_in_zennoposter,what_works,what_not_works,characteristic
unknown::User 243,User 243,pro,36,2,2,2026-02-18 05:44:00,2026-02-19 17:00:00,127.0,yes,"taskpay.ru, yandex.ru, google.com, aviso.bz, sso.dzen.ru",Служебная автоматизация,Прочие действия,0.00,0,—,0,—,,без явного стоп-фактора,новичок,95.0,2.70,"Служебная автоматизация; чаще работает с сайтами: taskpay.ru, yandex.ru, google.com",делает базовые сценарии навигации,явных повторяющихся runtime-ошибок мало,"Занимается: Служебная автоматизация. Основные сайты: taskpay.ru, yandex.ru, google.com. Стиль: итеративно и практично. Уровень: новичок."
unknown::User 244,User 244,pro,34,1,1,2026-02-20 12:02:00,2026-02-20 12:02:00,108.0,yes,,Служебная автоматизация,Прочие действия,0.00,0,—,0,—,,без явного стоп-фактора,новичок,95.0,2.40,Служебная автоматизация; чаще работает с сайтами: без выраженных внешних доменов,делает базовые сценарии навигации,явных повторяющихся runtime-ошибок мало,Занимается: Служебная автоматизация. Основные сайты: без выраженных внешних доменов. Стиль: итеративно и практично. Уровень: новичок.
unknown::User 290,User 290,pro,26,1,1,2026-02-24 04:01:00,2026-02-24 04:01:00,20.0,no,,Служебная автоматизация,Прочие действия,0.00,0,—,0,—,,без явного стоп-фактора,новичок,95.0,2.00,Служебная автоматизация; чаще работает с сайтами: без выраженных внешних доменов,делает базовые сценарии навигации,явных повторяющихся runtime-ошибок мало,Занимается: Служебная автоматизация. Основные сайты: без выраженных внешних доменов. Стиль: итеративно и практично. Уровень: новичок.
unknown::User 121,User 121,pro,21,1,1,2026-02-22 16:59:00,2026-02-22 16:59:00,55.0,yes,,Служебная автоматизация,Прочие действия,0.00,0,—,0,—,,без явного стоп-фактора,новичок,95.0,1.75,Служебная автоматизация; чаще работает с сайтами: без выраженных внешних доменов,делает базовые сценарии навигации,явных повторяющихся runtime-ошибок мало,Занимается: Служебная автоматизация. Основные сайты: без выраженных внешних доменов. Стиль: итеративно и практично. Уровень: новичок.
unknown::User 340,User 340,pro,20,12,2,2026-02-21 11:07:00,2026-02-22 10:20:00,61.7,yes,,Служебная автоматизация,Прочие действия,0.00,0,—,0,—,,без явного стоп-фактора,новичок,95.0,3.10,Служебная автоматизация; чаще работает с сайтами: без выраженных внешних доменов,делает базовые сценарии навигации,явных повторяющихся runtime-ошибок мало,Занимается: Служебная автоматизация. Основные сайты: без выраженных внешних доменов. Стиль: итеративно и практично. Уровень: новичок.
9c5f90d9-9b80-4a50-8c9d-bed2d756ba1b,User 378,pro,16,13,6,2026-02-18 00:30:10,2026-02-24 23:47:32,0.2,no,"sportybet.com, f-p.sgsnssdk.com, trae.ai, swiffyvouchers.co.za, secure-authentication.paymongo.com","Регистрация/аккаунты, Лидогенерация/арбитраж","Формы/клики/DOM, Парсинг/валидация, Логика/ретраи, Прочие действия",23.12,37,执行动作C#自定义代码.id: <id> 动作组 id: <id> startIndex cannot be larger than length of string,3,运行HTMLElement 动作id<id> 动作组id<id> 根据搜索条件未找到HTML元素,2026-02-22 23:08:45.157491,执行动作C#自定义代码.id: <id> 动作组 id: <id> startIndex cannot be larger than length of string,продвинутый,78.3,13.50,"Регистрация/аккаунты / Лидогенерация/арбитраж; чаще работает с сайтами: sportybet.com, f-p.sgsnssdk.com, trae.ai",уверенно автоматизирует формы и DOM-события,чаще всего стопорится на: 执行动作c#自定义代码.id: <id> 动作组 id: <id> startindex cannot be larger than length of string,"Занимается: Регистрация/аккаунты / Лидогенерация/арбитраж. Основные сайты: sportybet.com, f-p.sgsnssdk.com, trae.ai. Стиль: итеративно и практично. Уровень: продвинутый."
unknown::User 430,User 430,pro,12,1,1,2026-02-21 18:28:00,2026-02-21 18:28:00,77.5,yes,,Служебная автоматизация,Прочие действия,0.00,0,—,0,—,,без явного стоп-фактора,новичок,86.0,1.30,Служебная автоматизация; чаще работает с сайтами: без выраженных внешних доменов,делает базовые сценарии навигации,явных повторяющихся runtime-ошибок мало,Занимается: Служебная автоматизация. Основные сайты: без выраженных внешних доменов. Стиль: итеративно и практично. Уровень: новичок.
1189d50c-df97-446c-b2fe-16f4a31b15c5,User 125,pro,10,17,8,2026-02-17 05:33:00,2026-02-24 17:19:48,6.7,no,"senscritique.com, audiomack.com, tripadvisor.ru, dashboard.tawk.to, planetminecraft.com","Регистрация/аккаунты, Служебная автоматизация","Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация, Логика/ретраи",10.50,55,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска",13,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска",2026-02-24 11:58:48.148935,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска",продвинутый,84.3,12.60,"Регистрация/аккаунты / Служебная автоматизация; чаще работает с сайтами: senscritique.com, audiomack.com, tripadvisor.ru",уверенно автоматизирует формы и DOM-события,"чаще всего стопорится на: выполнение действия htmlelement id: <id> группы действий id: <id> не найден html элемент, по условиям поиска","Занимается: Регистрация/аккаунты / Служебная автоматизация. Основные сайты: senscritique.com, audiomack.com, tripadvisor.ru. Стиль: итеративно и практично. Уровень: продвинутый."
026ef003-1460-479f-afe9-bfd6abcbe0f1,User 78,lite,10,4,3,2026-02-18 07:01:05.141188,2026-02-24 12:46:01.919596,11.2,no,"accounts.google.com, auth.wikimedia.org, youtube.com, ru.wikipedia.org","Регистрация/аккаунты, Соцсети","Формы/клики/DOM, Навигация по сайтам, Таблицы/Google Sheets, Прочие действия",18.50,31,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска",1,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска",,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска",продвинутый,88.7,11.50,"Регистрация/аккаунты / Соцсети; чаще работает с сайтами: accounts.google.com, auth.wikimedia.org, youtube.com",ведет учет в таблицах; уверенно автоматизирует формы и DOM-события,"чаще всего стопорится на: выполнение действия htmlelement id: <id> группы действий id: <id> не найден html элемент, по условиям поиска","Занимается: Регистрация/аккаунты / Соцсети. Основные сайты: accounts.google.com, auth.wikimedia.org, youtube.com. Стиль: итеративно и практично. Уровень: продвинутый."
eab8e7de-7771-44e6-8c04-c951015f30b7,User 211,pro,8,12,6,2026-02-17 08:53:11,2026-02-22 10:53:00,61.1,yes,"cp.beget.com, mail.ru, e.mail.ru, beget.com, capitankredit.ru",Регистрация/аккаунты,"Навигация по сайтам, Формы/клики/DOM, Логика/ретраи, Прочие действия",25.12,28,Выполнение действия WebBrowserTab id: <id> группы действий id: <id> Ошибка обращения к Instance.ActiveTab | System.Exception: Ошибка обращен,4,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска",2026-02-20 12:09:35.032498,Выполнение действия WebBrowserTab id: <id> группы действий id: <id> Ошибка обращения к Instance.ActiveTab | System.Exception: Ошибка обращен,продвинутый,85.0,10.50,"Регистрация/аккаунты; чаще работает с сайтами: cp.beget.com, mail.ru, e.mail.ru",уверенно автоматизирует формы и DOM-события,чаще всего стопорится на: выполнение действия webbrowsertab id: <id> группы действий id: <id> ошибка обращения к instance.activetab | system.exception: ошибка обращен,"Занимается: Регистрация/аккаунты. Основные сайты: cp.beget.com, mail.ru, e.mail.ru. Стиль: итеративно и практично. Уровень: продвинутый."
unknown::User 223,User 223,pro,8,3,1,2026-02-19 12:54:19,2026-02-19 14:31:38,129.5,yes,"yandex.ru, spark.ru, drom.ru, auto.drom.ru, 365sms.biz",Служебная автоматизация,Прочие действия,0.00,0,—,0,—,,без явного стоп-фактора,новичок,86.0,1.50,"Служебная автоматизация; чаще работает с сайтами: yandex.ru, spark.ru, drom.ru",делает базовые сценарии навигации,явных повторяющихся runtime-ошибок мало,"Занимается: Служебная автоматизация. Основные сайты: yandex.ru, spark.ru, drom.ru. Стиль: итеративно и практично. Уровень: новичок."
36c07452-9555-48c4-9fc3-9ae32c119feb,User 247,pro,8,3,5,2026-02-18 21:55:00,2026-02-24 03:11:02,20.8,no,"lllpg.com, rc.zennoposter.com, besteasywork.com, cashsurprise.net, freedomwithemily.com","Лидогенерация/арбитраж, Служебная автоматизация, Регистрация/аккаунты","Формы/клики/DOM, Логика/ретраи, Прочие действия, Навигация по сайтам",7.88,28,Subproject isLinkLoaded. Parsing the page action id: <id> action group id: <id> subproject path: C:\Users\gaabs\Documents\zennoPoster\refact,3,Subproject leadhero. Parsing the page action id: <id> action group id: <id> subproject path: C:\Users\gaabs\Documents\zennoPoster\refactor\l,2026-02-24 01:52:51.703421,Subproject isLinkLoaded. Parsing the page action id: <id> action group id: <id> subproject path: C:\Users\gaabs\Documents\zennoPoster\refact,средний,68.2,8.67,"Лидогенерация/арбитраж / Служебная автоматизация; чаще работает с сайтами: lllpg.com, rc.zennoposter.com, besteasywork.com",уверенно автоматизирует формы и DOM-события,чаще всего стопорится на: subproject islinkloaded. parsing the page action id: <id> action group id: <id> subproject path: c:\users\gaabs\documents\zennoposter\refact,"Занимается: Лидогенерация/арбитраж / Служебная автоматизация. Основные сайты: lllpg.com, rc.zennoposter.com, besteasywork.com. Стиль: итеративно и практично. Уровень: средний."
762cd689-91f2-42c5-8640-e87eec6e2584,User 270,lite,8,9,3,2026-02-16 17:37:31.336709,2026-02-22 17:55:00,54.1,yes,"facebook.com, daraz.pk, rc.zennoposter.com, pages.daraz.pk","Регистрация/аккаунты, Соцсети","Прокси/профили/эмуляция, Навигация по сайтам, Формы/клики/DOM, Прочие действия",21.00,12,Taking line from the table action id: <id> action group id: <id> Line No. does not exist in the table,6,Taking line from the table action id: <id> action group id: <id> Line No. does not exist in the table,,Taking line from the table action id: <id> action group id: <id> Line No. does not exist in the table,продвинутый,77.7,9.40,"Регистрация/аккаунты / Соцсети; чаще работает с сайтами: facebook.com, daraz.pk, rc.zennoposter.com",работает с прокси/профилями; уверенно автоматизирует формы и DOM-события,чаще всего стопорится на: taking line from the table action id: <id> action group id: <id> line no. does not exist in the table,"Занимается: Регистрация/аккаунты / Соцсети. Основные сайты: facebook.com, daraz.pk, rc.zennoposter.com. Стиль: итеративно и практично. Уровень: продвинутый."
d7dc9a70-43ed-43c8-8a66-a6ba90626fde,User 449,lite,8,8,3,2026-02-17 08:27:00,2026-02-21 08:27:59.390108,87.5,yes,"utp.sberbank-ast.ru, login.sberbank-ast.ru, dzen.ru, rc.zennoposter.com, ru.wikipedia.org",Регистрация/аккаунты,"Навигация по сайтам, Прокси/профили/эмуляция, Формы/клики/DOM, Прочие действия",8.25,9,Not found,3,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска",,Not found,средний,79.3,5.65,"Регистрация/аккаунты; чаще работает с сайтами: utp.sberbank-ast.ru, login.sberbank-ast.ru, dzen.ru",работает с прокси/профилями; уверенно автоматизирует формы и DOM-события,чаще всего стопорится на: not found,"Занимается: Регистрация/аккаунты. Основные сайты: utp.sberbank-ast.ru, login.sberbank-ast.ru, dzen.ru. Стиль: итеративно и практично. Уровень: средний."
unknown::User 257,User 257,pro,7,4,2,2026-02-22 12:01:00,2026-02-23 10:00:00,38.0,yes,,Служебная автоматизация,Прочие действия,0.00,0,—,0,—,,без явного стоп-фактора,новичок,87.5,1.65,Служебная автоматизация; чаще работает с сайтами: без выраженных внешних доменов,делает базовые сценарии навигации,явных повторяющихся runtime-ошибок мало,"Занимается: Служебная автоматизация. Основные сайты: без выраженных внешних доменов. Стиль: точечно, небольшим числом проектов. Уровень: новичок."
0e295f4f-6b36-4f03-a6de-68b590025edf,"User 100, User 148, User 182",pro,6,5,2,2026-02-18 01:10:02.672985,2026-02-23 14:54:00,33.1,yes,,"Соцсети, Google Sheets/отчетность, Лидогенерация/арбитраж","Формы/клики/DOM, Логика/ретраи, Навигация по сайтам, Парсинг/валидация",3.50,70,Executing the Start ZennoBrowser instance action id: <id> action group id: <id> ZennoBrowser product is not installed | ZennoLab.ZennoPoster,1,Executing the Start ZennoBrowser instance action id: <id> action group id: <id> ZennoBrowser product is not installed | ZennoLab.ZennoPoster,,Executing the Start ZennoBrowser instance action id: <id> action group id: <id> ZennoBrowser product is not installed | ZennoLab.ZennoPoster,продвинутый,82.3,12.00,Соцсети / Google Sheets/отчетность; чаще работает с сайтами: без выраженных внешних доменов,уверенно автоматизирует формы и DOM-события,чаще всего стопорится на: executing the start zennobrowser instance action id: <id> action group id: <id> zennobrowser product is not installed | zennolab.zennoposter,"Занимается: Соцсети / Google Sheets/отчетность. Основные сайты: без выраженных внешних доменов. Стиль: точечно, небольшим числом проектов. Уровень: продвинутый."
