lite_or_pro,error_category,events_count,users_count
lite,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска",229,26
lite,Выполнение логического оператора If действия id: <id> группы действий id: <id> Результат: false,65,6
lite,Rate limit,63,5
lite,Running HtmlElement action id: <id> action group id: <id> An HTML element matching the search criteria hasn't been found,63,4
lite,Парсинг страницы действия id: <id> группы действий id: <id> Не найдены элементы по заданным параметрам,54,6
lite,Argument error,43,5
lite,Captcha/anti-bot,41,3
lite,Выполнение действия VariableOperations id: <id> группы действий id: <id> Переменная не число | System.FormatException: Входная строка имела ,34,6
lite,Proxy issue,25,9
lite,Null reference,24,9
lite,Выполнение действия Http id: <id> группы действий id: <id> Ошибка запроса,24,6
lite,Выполнение логического оператора Switch действия id: <id> группы действий id: <id> Результат: Нет подходящего значения,24,1
lite,Running the Profile action id: <id> action group id: <id> Could not find matching profile. | System.Data.ObjectNotFoundException: Could not ,20,1
lite,Выполнение действия JavaScript OwnCode id: <id> группы действий id: <id> No such variable: mexc_ask_fixed,20,1
lite,Выполнение действия Plugin id: <id> группы действий id: <id> Ошибка при обработке плагина Cap.Guru.26.7_all Ошибка в действии: <id>,17,1
lite,Server 500,16,6
lite,Running the logical IF-statement action id: <id> action group id: <id> Result: false,16,1
lite,Выполнение действия Emulation id: <id> группы действий id: <id> Входная строка имела неверный формат. | System.FormatException: Входная стро,13,6
lite,Taking line from the table action id: <id> action group id: <id> Line No. does not exist in the table,13,1
lite,"Выполнение действия Parse Json/Xml id: <id> группы действий id: <id> Error reading JToken from JsonReader. Path '', line 0, position 0. | Sy",12,3
lite,Timeout,11,3
lite,Выполнение действия Emulation id: <id> группы действий id: <id> Выполнение прервано | System.Exception: Выполнение прервано,11,2
lite,Выполнение действия List id: <id> группы действий id: <id> Ошибка при обработке списка,10,4
lite,Выполнение действия CSharp OwnCode: Get Messagge. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Threadin,10,1
lite,"Выполнение действия Parse Json/Xml id: <id> группы действий id: <id> Unexpected character encountered while parsing value: H. Path '', line ",9,1
lite,Выполнение действия List id: <id> группы действий id: <id> Список пуст | System.Exception: Список пуст,8,5
lite,Server unavailable,8,2
lite,Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Идентификатор профиля ZennoBrowser пустой | ZennoLab.Ze,8,2
lite,Running the Table action id: <id> action group id: <id> Failed to process the table,8,1
lite,Running the Table action id: <id> action group id: <id> Input string was not in a correct format. | System.FormatException: Input string was,8,1
lite,Взятие строки из таблицы действия id: <id> группы действий id: <id> Строки с номером не существует в таблице,7,3
lite,Running the WebBrowserSettings action id: <id> action group id: <id> Cookies for loading not found. | System.Exception: Cookies for loading ,7,2
lite,Выполнение действия WebBrowserSettings id: <id> группы действий id: <id> Не найдены cookies для загрузки. | System.Exception: Не найдены coo,7,1
lite,"Поиск текста на странице действия id: <id> группы действий id: <id> Не найден, Url: https://www.tiktok.com/@hocnguyen_97/video/<n>?is_from_w",7,1
