lite_or_pro,last_error_category,users_count
lite,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска",18
lite,Running HtmlElement action id: <id> action group id: <id> An HTML element matching the search criteria hasn't been found,9
lite,Null reference,7
lite,Taking line from the table action id: <id> action group id: <id> Line No. does not exist in the table,3
lite,运行HTMLElement 动作id<id> 动作组id<id> 根据搜索条件未找到HTML元素,3
lite,Argument error,2
lite,Выполнение действия List id: <id> группы действий id: <id> Список пуст | System.Exception: Список пуст,2
lite,Выполнение действия WebBrowserSettings id: <id> группы действий id: <id> Ошибка обращения к Instance.ClearCookie | System.Exception: Ошибка ,2
lite,Выполнение действия Emulation id: <id> группы действий id: <id> Входная строка имела неверный формат. | System.FormatException: Входная стро,2
lite,Парсинг страницы действия id: <id> группы действий id: <id> Не найдены элементы по заданным параметрам,2
lite,Выполнение логического оператора If действия id: <id> группы действий id: <id> Результат: false,2
lite,Выполнение действия Создать профили ZennoBrowser id: <id> группы действий id: <id> Списка с указанным именем не существует,2
lite,Выполнение действия Directory id: <id> группы действий id: <id> Ошибка при работе с директорией,2
lite,Выполнение действия Http id: <id> группы действий id: <id> Ошибка запроса,2
lite,Run List action id: <id> action group id: <id> List is empty | System.Exception: List is empty,2
lite,Rate limit,2
lite,Proxy issue,2
lite,Running the VariableOperations action id: <id> action group id: <id> Variable is not a number | System.FormatException: Input string was not,1
lite,Running the Profile action id: <id> action group id: <id> Could not find matching profile. | System.Data.ObjectNotFoundException: Could not ,1
lite,Server 500,1
lite,Выполнение действия FTPDirectory id: <id> группы действий id: <id> Ошибка при работе с FTP,1
lite,Выполнение действия List id: <id> группы действий id: <id> Ошибка при обработке списка,1
lite,Executing action ImageProcessing id: <id> Action Group id: <id> Error loading image,1
lite,Выполнение действия WebBrowserSettings id: <id> группы действий id: <id> Ошибка обращения к Instance.ClearCache | System.Exception: Ошибка о,1
lite,Выполнение действия Emulation id: <id> группы действий id: <id> Ошибка обращения к Instance.SendText | System.Exception: Ошибка обращения к ,1
lite,Not found,1
lite,Timeout,1
lite,Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Ошибка запуска профиля ZennoBrowser (<id>): Can't conne,1
lite,Выполнение действия ImageProcessing id: <id> группы действий id: <id> Ошибка при получении изображения,1
lite,Выполнение действия Table id: <id> группы действий id: <id> Индекс находился вне границ массива. | System.IndexOutOfRangeException: Индекс н,1
lite,Выполнение действия ProjectInProject id: <id> группы действий id: <id> Ошибка при обработке,1
lite,运行WebBrowserSettings 动作id<id> 动作组id<id> 访问实例错误.ClearCookie | System.Exception: 访问实例错误.ClearCookie,1
lite,File not found,1
lite,Running the WebBrowserSettings action id: <id> action group id: <id> Error accessing Instance.ClearCookie | System.Exception: Error accessin,1
lite,"Поиск текста на странице действия id: <id> группы действий id: <id> Не найден, Url: https://2ip.ru/, Regex: Вая\s+IP",1
lite,Выполнение действия TextProcessing id: <id> группы действий id: <id> Ошибка при обработке текста,1
lite,Выполнение действия File id: <id> группы действий id: <id> Ошибка при работе с файлом,1
lite,Выполнение действия CSharp OwnCode: НЕ можем нажать отправить. id: <id> группы действий id: <id> [Строка: 3; Cтолбец: 0] ERROR - НЕ можем на,1
