guid,lite_or_pro,level,left_more_than_1_day,inactive_hours_till_2026_02_24_end,user_projects_count,session,project_file,project_number,project_time,last_edit_time,last_error_time,last_error_category,last_error_message,theme,domains,operations,no_changes_after_error
54081ca9-44af-46e1-808f-f00ed54cf2bd,pro,продвинутый,yes,194.5,25,Session 2. 2026-02-16 18-36,Project 14.zip,14,2026-02-16 19:57:18.323315,,2026-02-16 19:57:18.323315,Взятие строки из таблицы действия id: <id> группы действий id: <id> Строки с номером не существует в таблице,Взятие строки из таблицы действия id: 6198d512-f85c-408e-9d60-dbd8087af917 группы действий id: 4853d078-7c11-4da3-abdf-bd49c26fc460 Строки с номером  не существует в таблице,Соцсети,"212.111.80.175, api.capmonster.cloud, moresms.net, otzovik.com, telegram.org, yandex.ru","Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация, Прокси/профили/эмуляция",yes
3c8437aa-becc-4c4a-a053-b694ba06dc84,pro,средний,yes,176.0,4,Session 2. 2026-02-17 16-02,Project 3.zip,3,2026-02-17 16:02:00,,2026-02-17 16:00:37.091675,Выполнение действия Db id: <id> группы действий id: <id> ERROR [IM014] [Microsoft][ODBC Driver Manager] The specified DSN contains an archit,"Выполнение действия Db id: 7f4acb8e-6a6f-4f82-91cf-44b1d52e4d33 группы действий id: b6d0411c-d9d7-481e-bdff-7405b62aa937 ERROR [IM014] [Microsoft][ODBC Driver Manager] The specified DSN contains an architecture mismatch between the Driver and Application | System.Data.Odbc.OdbcException (0x80131937): ERROR [IM014] [Microsoft][ODBC Driver Manager] The specified DSN contains an architecture mismatch between the Driver and Application
   at System.Data.Odbc.OdbcConnection.HandleError(OdbcHandle hr",Регистрация/аккаунты,"api.steampowered.com, checkout.steampowered.com, esger.ns.gifts, shared.fastly.steamstatic.com, steamcommunity.com, store.fastly.steamstatic.com, store.steampowered.com","Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация, Прокси/профили/эмуляция",yes
76dda717-54e7-4242-9b67-33aa895a2743,pro,продвинутый,yes,169.8,21,Session 3. 2026-02-17 20-22,Project 10.zip,10,2026-02-17 20:51:28.178513,,2026-02-17 20:51:28.178513,Выполнение действия List id: <id> группы действий id: <id> Список пуст | System.Exception: Список пуст,"Выполнение действия List id: aab26caa-05a3-4cdc-99be-603f54a9a69e группы действий id: 29bd93cb-4715-4b22-b121-c1e3935055f7 Список пуст | System.Exception: Список пуст
   в ZennoLab.ZennoPoster.Core.Modules.TemplateExecutor.ProjectExecutors.ProjectExecutor.ListGetString(Object info, ProjectMakerProcessing proc, String[] parameters)
   в ZennoLab.ZennoPoster.Core.Modules.TemplateExecutor.ProjectExecutors.ProjectExecutor.ListGetString(Object info, ProjectMakerProcessing proc, String[] parameters)",Соцсети,"aeruborony.com, aristocratic-hall.com, catchthecatthree.com, grid-cyberlane.com, neerenicle-street.com, pamuatinat.xyz, prod-api.lzt.market, steamcommunity.com","Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы, Парсинг/валидация, Прокси/профили/эмуляция, Логика/ретраи",yes
76dda717-54e7-4242-9b67-33aa895a2743,pro,продвинутый,yes,169.8,21,Session 1. 2026-02-17 13-31,Project 6.zip,6,2026-02-17 14:12:12.095638,,2026-02-17 14:12:12.095638,Proxy issue,"Выполнение действия WebBrowserSettings id: 521b2a15-0ca6-4caf-ae8f-db504b693638 группы действий id: c9f1dfed-6298-4f26-a4fe-7ce6cbd11e97 Прокси ""https://Kd5KhxL6cTNe:7o9EJF6SlS@185.189.132.216:8102"" имеет неправильный формат. | System.Exception: Прокси ""https://Kd5KhxL6cTNe:7o9EJF6SlS@185.189.132.216:8102"" имеет неправильный формат.
   в ZennoLab.CommandCenter.ProxySettings..ctor(String proxyString, Boolean useProxifier, Boolean emulateGeolocation, Boolean emulateTimezone, Boolean emulateWebrtc",Регистрация/аккаунты,"185.162.130.86, 185.189.132.216, 95.181.167.211, fiatducatoclub.ru, forum.radmir.games, hilux-club.ru, mails.org, minmail.app","Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы, Парсинг/валидация, Прокси/профили/эмуляция, Логика/ретраи",yes
76dda717-54e7-4242-9b67-33aa895a2743,pro,продвинутый,yes,169.8,21,Session 1. 2026-02-17 13-31,Project 2.zip,2,2026-02-17 13:40:11.266895,,2026-02-17 13:40:11.266895,Proxy issue,"Выполнение действия WebBrowserSettings id: e7bb9536-adc0-4732-85b5-3b9d0f99964e группы действий id: 11c08a59-0fb4-4be5-bac2-cc299d2979a0 Прокси ""socs5://P19616HPHsbG:18Js3LjZug@185.189.132.214:19147"" имеет неправильный формат. | System.Exception: Прокси ""socs5://P19616HPHsbG:18Js3LjZug@185.189.132.214:19147"" имеет неправильный формат.
   в ZennoLab.CommandCenter.ProxySettings..ctor(String proxyString, Boolean useProxifier, Boolean emulateGeolocation, Boolean emulateTimezone, Boolean emulateWebr",Регистрация/аккаунты,"185.162.130.86, 95.181.167.211, fiatducatoclub.ru, forum.radmir.games, hilux-club.ru, mails.org, minmail.app","Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы, Парсинг/валидация, Прокси/профили/эмуляция, Логика/ретраи",yes
9baef9fd-d988-411e-9664-5821d9547849,lite,продвинутый,yes,167.5,46,Session 4. 2026-02-17 16-32,Project 47.zip,47,2026-02-18 00:27:37.207076,,2026-02-18 00:27:37.207076,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска","Выполнение действия HtmlElement id: 3b1bb5e9-7f11-477d-ac0c-b89c0220acc8 группы действий id: 5572bd7e-c69a-4cc0-b4a3-2563383b8de6 Не найден HTML элемент, по условиям поиска",Регистрация/аккаунты,"checkout.pp-service.xyz, paysys3ds.app, processingv2.betatransfer.io","Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы, Прокси/профили/эмуляция, Логика/ретраи",yes
9baef9fd-d988-411e-9664-5821d9547849,lite,продвинутый,yes,167.5,46,Session 4. 2026-02-17 16-32,Project 42.zip,42,2026-02-17 18:00:06.204194,2026-02-17 17:58:35.759546,2026-02-17 18:00:06.204194,Captcha/anti-bot,Выполнение действия распознавания hCaptcha id: 3bfb44bf-c5e7-4f60-9b07-783e5dc82d51 группы действий id: 5572bd7e-c69a-4cc0-b4a3-2563383b8de6 hCaptcha не распознана | System.Exception: SiteKey value not found,Регистрация/аккаунты,"paysys3ds.app, processingv2.betatransfer.io","Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы, Прокси/профили/эмуляция, Логика/ретраи",yes
9baef9fd-d988-411e-9664-5821d9547849,lite,продвинутый,yes,167.5,46,Session 4. 2026-02-17 16-32,Project 41.zip,41,2026-02-17 17:56:20.423986,,2026-02-17 17:53:07.893862,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска","Выполнение действия HtmlElement id: 5741da3c-8647-481a-a255-82ab2b7986ab группы действий id: dbf639c6-76b4-4fd8-b359-1ac6d33acd4d Не найден HTML элемент, по условиям поиска",Регистрация/аккаунты,"paysys3ds.app, processingv2.betatransfer.io","Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы, Прокси/профили/эмуляция, Логика/ретраи",yes
9baef9fd-d988-411e-9664-5821d9547849,lite,продвинутый,yes,167.5,46,Session 4. 2026-02-17 16-32,Project 39.zip,39,2026-02-17 17:40:47.785651,,2026-02-17 17:40:47.785651,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска","Выполнение действия HtmlElement id: 3b1bb5e9-7f11-477d-ac0c-b89c0220acc8 группы действий id: 5572bd7e-c69a-4cc0-b4a3-2563383b8de6 Не найден HTML элемент, по условиям поиска",Регистрация/аккаунты,"paysys3ds.app, processingv2.betatransfer.io","Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы, Прокси/профили/эмуляция, Логика/ретраи",yes
9baef9fd-d988-411e-9664-5821d9547849,lite,продвинутый,yes,167.5,46,Session 4. 2026-02-17 16-32,Project 26.zip,26,2026-02-17 16:32:00,2026-02-17 16:27:48.985017,2026-02-17 16:29:45.305062,Captcha/anti-bot,Выполнение действия распознавания hCaptcha id: 3bfb44bf-c5e7-4f60-9b07-783e5dc82d51 группы действий id: 5572bd7e-c69a-4cc0-b4a3-2563383b8de6 hCaptcha не распознана | System.Exception: RuCaptcha ReCaptcha/hCaptha: ERROR_METHOD_CALL,Регистрация/аккаунты,processingv2.betatransfer.io,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы, Прокси/профили/эмуляция, Логика/ретраи",yes
