error_category,events_count,users_count,example_message
"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска",941,96,"Выполнение действия HtmlElement id: a7dd92e3-dd76-4789-92e4-14e7afb85ab0 группы действий id: 1014082d-5889-4f9d-8f3b-598332043dbc Не найден HTML элемент, по условиям поиска | Выполнение действия HtmlElement id: a7dd92e3-dd76-4789-92e4-14e7afb85ab0 группы действий id: 1014082d-5889-4f9d-8f3b-598332043dbc Не найден HTML элемент, по условиям поиска"
运行HTMLElement 动作id<id> 动作组id<id> 根据搜索条件未找到HTML元素,315,12,运行HTMLElement 动作idf50a39d6-669b-4fef-965f-2c5516d12ea1 动作组idf889fc56-fb80-4f86-b5dd-1d8c913c4d91 根据搜索条件未找到HTML元素 | 运行HTMLElement 动作id96b43841-547d-4770-b8b9-51fe4d912a5d 动作组id12119ffe-c52c-4c5b-9ae1-c0609a78d0d4 根据搜索条件未找到HTML元素
Выполнение логического оператора If действия id: <id> группы действий id: <id> Результат: false,145,28,Выполнение логического оператора If действия id: ae2be155-78b5-4890-96fa-4620c9bc1fb4 группы действий id: 694aa1fa-5b49-4180-95e4-4a898758f242 Результат: false | Выполнение логического оператора If действия id: d29efb08-cbc4-4ccc-aaf2-929fc1abfd09 группы действий id: d5b3190a-3426-4d61-91e4-678066445f87 Результат: false
Captcha/anti-bot,123,16,Executing action ReCaptcha recognition id: 28fc89b0-6b73-4f3c-8d30-248c26712a23 action group id: c01fd89c-6843-4a9f-ba82-00a8f1cf9a09 ReCaptcha2 is not recognized | Executing action ReCaptcha recognition id: 28fc89b0-6b73-4f3c-8d30-248c26712a23 action group id: c01fd89c-6843-4a9f-ba82-00a8f1cf9a09 ReCaptcha2 is not recognized | System.Exception: CapMonsterCloud ReCaptcha/hCaptha: ER
Running HtmlElement action id: <id> action group id: <id> An HTML element matching the search criteria hasn't been found,119,12,Running HtmlElement action id: 5de2b305-1897-45de-9668-b6145a3cfc57 action group id: 22fb032b-8c6c-4d59-bb79-03ae25c0d3f1 An HTML element matching the search criteria hasn't been found | Running HtmlElement action id: 8248deeb-5266-44ca-acc9-29db15b4678e action group id: 9dab4cb5-685b-484c-9ab9-81a0c8a4e717 An HTML element matching the search criteria hasn't been found
Выполнение действия List id: <id> группы действий id: <id> Искомый элемент отсутствует в списке | System.Exception: Искомый элемент отсутств,113,6,"Выполнение действия List id: 3a3d9bf0-f841-4eab-a043-843f9c06fa38 группы действий id: 3f4e3008-738e-4a63-8f1b-b060bebd06fb Искомый элемент отсутствует в списке | System.Exception: Искомый элемент отсутствует в списке
   | Выполнение действия List id: 9b8e6b98-fa45-4f28-8e81-1d994e6c13af группы действий id: f45d7650-8951-4d2b-9b31-9e746325c593 Искомый элемент отсутствует в списке | System.Exception: Искомый элемент отсутствует в списке
  "
Парсинг страницы действия id: <id> группы действий id: <id> Не найдены элементы по заданным параметрам,93,17,Парсинг страницы действия id: d96a4e52-52cd-4d4f-be7b-bce90bc25bed группы действий id: b39e4359-cd67-4662-b26a-dacfd65111ec Не найдены элементы по заданным параметрам | Парсинг страницы действия id: af55dfb9-add7-478d-b841-b2e46148de99 группы действий id: a9ae4826-e33c-4171-a7aa-be3c611b23b8 Не найдены элементы по заданным параметрам
Rate limit,90,18,Выполнение действия CSharp OwnCode: re. id: b289dc90-ac42-4e29-a6c1-7429c059e3eb группы действий id: 5c612b95-0772-4901-b14d-88554cc31569 [Строка: 164; Cтолбец: 4] Ошибка: Для номера 353833629626 уже есть активная сессия | Выполнение действия CSharp OwnCode: re. id: b289dc90-ac42-4e29-a6c1-7429c059e3eb группы действий id: 5c612b95-0772-4901-b14d-88554cc31569 [Строка: 164; Cтолбец: 4] Ошибка: Для номера 353833629626 уже есть активная сессия
Выполнение действия List id: <id> группы действий id: <id> Список пуст | System.Exception: Список пуст,83,32,"Выполнение действия List id: b2156271-adbe-40b4-aaec-10cdd2a4d792 группы действий id: 51a21401-c5bf-41c8-9d15-a3a3bc2e9dad Список пуст | System.Exception: Список пуст
   в ZennoLab.ZennoPoster.Core.Modules.TemplateExecu | Выполнение действия List id: cea77379-0531-4722-8ecb-790a172e369a группы действий id: 6d5756b5-05b5-4e2f-a0e5-9b5e9c77c621 Список пуст | System.Exception: Список пуст
   в ZennoLab.ZennoPoster.Core.Modules.TemplateExecu"
Proxy issue,74,30,"Выполнение действия List id: 1f83586d-bd38-4f20-b626-2caa94c57c57 группы действий id: 2851a0ae-5017-4c3a-a5eb-3612ef34c7cc Отказано в доступе по пути ""\\SERVER\c\Users\Server\Desktop\Файл Стартер\Отчет.txt"". | System.Una | Выполнение действия List id: 1f83586d-bd38-4f20-b626-2caa94c57c57 группы действий id: 2851a0ae-5017-4c3a-a5eb-3612ef34c7cc Отказано в доступе по пути ""\\SERVER\c\Users\Server\Desktop\Файл Стартер\Отчет.txt"". | System.Una"
Null reference,73,29,Выполнение действия Создать профили ZennoBrowser id: 934ffdf7-1aed-4647-83a9-64844710ab8a группы действий id: 6d93218d-41c6-44ce-94ff-b7fbac6ceea3 Ссылка на объект не указывает на экземпляр объекта. | System.NullReferenc | Выполнение действия Создать профили ZennoBrowser id: 934ffdf7-1aed-4647-83a9-64844710ab8a группы действий id: 6d93218d-41c6-44ce-94ff-b7fbac6ceea3 Ссылка на объект не указывает на экземпляр объекта. | System.NullReferenc
